user_id,event_time,event_name,channel,device,variant,order_value
1622,2025-01-01 00:05:32,visit,email,desktop,control,0.0
1913,2025-01-01 00:09:55,visit,paid_search,mobile,treatment,0.0
3725,2025-01-01 00:14:11,visit,social,mobile,treatment,0.0
381,2025-01-01 00:19:03,visit,social,mobile,control,0.0
9284,2025-01-01 00:29:14,visit,email,mobile,treatment,0.0
6155,2025-01-01 00:29:22,visit,social,mobile,control,0.0
11250,2025-01-01 00:37:16,visit,email,mobile,treatment,0.0
11250,2025-01-01 00:46:49,signup,email,mobile,treatment,0.0
3822,2025-01-01 00:49:49,visit,referral,mobile,treatment,0.0
2442,2025-01-01 00:49:54,visit,paid_search,desktop,treatment,0.0
846,2025-01-01 00:58:21,visit,organic,mobile,control,0.0
5719,2025-01-01 01:09:26,visit,social,mobile,control,0.0
8989,2025-01-01 01:14:16,visit,paid_search,desktop,control,0.0
9106,2025-01-01 01:21:29,visit,social,mobile,control,0.0
6155,2025-01-01 01:27:25,signup,social,mobile,control,0.0
1279,2025-01-01 01:30:14,visit,social,mobile,treatment,0.0
6229,2025-01-01 01:48:36,visit,referral,mobile,treatment,0.0
6926,2025-01-01 01:52:57,visit,organic,desktop,control,0.0
1622,2025-01-01 01:53:16,signup,email,desktop,control,0.0
4768,2025-01-01 01:54:31,visit,paid_search,tablet,treatment,0.0
6926,2025-01-01 02:01:26,signup,organic,desktop,control,0.0
381,2025-01-01 02:02:32,signup,social,mobile,control,0.0
1175,2025-01-01 02:17:00,visit,paid_search,desktop,treatment,0.0
9284,2025-01-01 02:17:53,signup,email,mobile,treatment,0.0
8838,2025-01-01 02:20:44,visit,paid_search,desktop,control,0.0
8989,2025-01-01 02:24:20,signup,paid_search,desktop,control,0.0
1807,2025-01-01 02:27:44,visit,email,mobile,treatment,0.0
11188,2025-01-01 02:27:46,visit,referral,mobile,treatment,0.0
846,2025-01-01 02:58:12,signup,organic,mobile,control,0.0
10366,2025-01-01 03:09:55,visit,organic,mobile,control,0.0
4768,2025-01-01 03:12:46,signup,paid_search,tablet,treatment,0.0
1550,2025-01-01 03:26:19,visit,organic,mobile,control,0.0
6229,2025-01-01 03:28:05,signup,referral,mobile,treatment,0.0
1279,2025-01-01 03:28:28,signup,social,mobile,treatment,0.0
1807,2025-01-01 03:32:06,signup,email,mobile,treatment,0.0
11188,2025-01-01 03:42:02,signup,referral,mobile,treatment,0.0
8838,2025-01-01 04:05:41,signup,paid_search,desktop,control,0.0
104,2025-01-01 04:14:49,visit,email,mobile,treatment,0.0
2316,2025-01-01 04:43:56,visit,social,mobile,treatment,0.0
4055,2025-01-01 05:08:05,visit,email,tablet,control,0.0
1488,2025-01-01 05:13:36,visit,organic,desktop,control,0.0
8630,2025-01-01 05:23:18,visit,paid_search,desktop,treatment,0.0
1996,2025-01-01 05:36:16,visit,paid_search,desktop,treatment,0.0
